,time,latitude,longitude,frpfire,fire_range
3549757,2023-07-03T00:00:00,-8.65,15.75,2.1224304815849813,1-5
3549770,2023-07-03T00:00:00,-8.65,17.05,4.4373434516723265,1-5
3549773,2023-07-03T00:00:00,-8.65,17.35,1.1248881552400398,1-5
3549783,2023-07-03T00:00:00,-8.65,18.35,2.1421910412411194,1-5
3549812,2023-07-03T00:00:00,-8.65,21.25,2.4861711537738564,1-5
3553355,2023-07-03T00:00:00,-8.75,15.55,1.256625219614282,1-5
3553376,2023-07-03T00:00:00,-8.75,17.65,1.2346690422185738,1-5
3553405,2023-07-03T00:00:00,-8.75,20.55,1.7030674933269836,1-5
3553410,2023-07-03T00:00:00,-8.75,21.05,2.4276213473853048,1-5
3553417,2023-07-03T00:00:00,-8.75,21.75,4.011393610195615,1-5
3556950,2023-07-03T00:00:00,-8.85,15.05,1.6298802353412931,1-5
3556955,2023-07-03T00:00:00,-8.85,15.55,1.5823085176505955,1-5
3556971,2023-07-03T00:00:00,-8.85,17.15,1.1146419391220448,1-5
3556972,2023-07-03T00:00:00,-8.85,17.25,3.5276258349102108,1-5
3556989,2023-07-03T00:00:00,-8.85,18.95,1.055360260153634,1-5
3557009,2023-07-03T00:00:00,-8.85,20.95,1.876521294753065,1-5
3557017,2023-07-03T00:00:00,-8.85,21.75,1.9438535720999006,1-5
3560554,2023-07-03T00:00:00,-8.95,15.45,1.4461802177972132,1-5
3560555,2023-07-03T00:00:00,-8.95,15.55,1.3356674582388237,1-5
3560557,2023-07-03T00:00:00,-8.95,15.75,1.4586220516547819,1-5
3560576,2023-07-03T00:00:00,-8.95,17.65,1.5888953708693094,1-5
3560577,2023-07-03T00:00:00,-8.95,17.75,1.1409893519968932,1-5
3560578,2023-07-03T00:00:00,-8.95,17.85,1.034867827917644,1-5
3560669,2023-07-03T00:00:00,-8.95,26.95,2.221233279865661,1-5
3564161,2023-07-03T00:00:00,-9.05,16.15,1.6203658918031536,1-5
3564175,2023-07-03T00:00:00,-9.05,17.55,1.6891619143097039,1-5
3564176,2023-07-03T00:00:00,-9.05,17.65,2.33686914748305,1-5
3564177,2023-07-03T00:00:00,-9.05,17.75,1.616706528903869,1-5
3564206,2023-07-03T00:00:00,-9.05,20.65,1.302733192145265,1-5
3567755,2023-07-03T00:00:00,-9.15,15.55,3.3534401609042703,1-5
3567757,2023-07-03T00:00:00,-9.15,15.75,3.5861756412987624,1-5
3567762,2023-07-03T00:00:00,-9.15,16.25,2.0294826639431562,1-5
3571359,2023-07-03T00:00:00,-9.25,15.95,1.0670702214313472,1-5
3574958,2023-07-03T00:00:00,-9.35,15.85,3.185841340117044,1-5
3574959,2023-07-03T00:00:00,-9.35,15.95,1.3422543114575376,1-5
3574978,2023-07-03T00:00:00,-9.35,17.85,2.636936905224374,1-5
3574979,2023-07-03T00:00:00,-9.35,17.95,4.915256246318876,1-5
3575004,2023-07-03T00:00:00,-9.35,20.45,2.5469165779019782,1-5
3575017,2023-07-03T00:00:00,-9.35,21.75,1.7747910061529595,1-5
3578558,2023-07-03T00:00:00,-9.45,15.85,1.1446487148961744,1-5
3578560,2023-07-03T00:00:00,-9.45,16.05,1.405927225905085,1-5
3578564,2023-07-03T00:00:00,-9.45,16.45,2.4927580069925668,1-5
3578580,2023-07-03T00:00:00,-9.45,18.05,4.765222367448214,1-5
3582154,2023-07-03T00:00:00,-9.55,15.45,3.7171808330931455,1-5
3582155,2023-07-03T00:00:00,-9.55,15.55,7.664901528841213,5-10
3582160,2023-07-03T00:00:00,-9.55,16.05,1.635735215980148,1-5
3582174,2023-07-03T00:00:00,-9.55,17.45,2.8828460920562904,1-5
3585755,2023-07-03T00:00:00,-9.65,15.55,2.1268217170641215,1-5
3585760,2023-07-03T00:00:00,-9.65,16.05,1.4922881903281997,1-5
3585779,2023-07-03T00:00:00,-9.65,17.95,2.707196672890639,1-5
3585781,2023-07-03T00:00:00,-9.65,18.15,2.7232978696474888,1-5
3589365,2023-07-03T00:00:00,-9.75,16.55,2.2600225265980782,1-5
3589382,2023-07-03T00:00:00,-9.75,18.25,4.7432661900525055,1-5
3589386,2023-07-03T00:00:00,-9.75,18.65,2.345651618441334,1-5
3592958,2023-07-03T00:00:00,-9.85,15.85,1.412514079123799,1-5
3592984,2023-07-03T00:00:00,-9.85,18.45,2.9172441033095637,1-5
3596549,2023-07-03T00:00:00,-9.95,14.95,2.3866364829133175,1-5
3596555,2023-07-03T00:00:00,-9.95,15.55,1.222227208361005,1-5
3596558,2023-07-03T00:00:00,-9.95,15.85,1.2844363776488414,1-5
3603753,2023-07-03T00:00:00,-10.15,15.35,2.1385316783418347,1-5
